retrieval_id,aio_presence,aio_text,num_words,num_aio_sources,query_idx,query,category,subjectivity,answer_type,info_need,FIPS,State,County,CountySeat,pct_database or aggregator,pct_educational institution,pct_government,pct_local news,pct_national news,pct_other,pct_social media or forum,pct_wikipedia
bdf711ef-f0bd-42f9-8268-fbda30e380a0,0,,0,,22,how many days do you need in COUNTYSEAT STATE,culture,subjective,numeric,civics,29031,MO,Cape Girardeau,Jackson,,,,,,,,
2b356ceb-6973-45b5-9b6d-349e34333e22,1,"The ""best"" private school in Emporia, KS, often points to Sacred Heart Catholic School, praised for its faith-based learning and strong student-teacher ratio, alongside Emporia Christian School, another strong local choice with a good ratio, though rankings can vary by focus (faith vs. secular/Christian). Both schools offer focused, smaller environments for elementary-aged students in the Emporia area, with Sacred Heart typically noted as a top-ranked elementary option.
Top Private Schools in Emporia:
How to Decide:
Faith-Based vs. Christian: Sacred Heart is Catholic, while Emporia Christian is broadly Christian, offering different religious focuses.
Student-Teacher Ratio: Both offer small class sizes, which is a significant benefit for personalized learning.
Check Reviews: Look at sites like Niche for more detailed grades and parent reviews for each school.",131,7.0,48,what is the best private school in COUNTYSEAT STATE,education,mixed,open-ended,education,20111,KS,Lyon,Emporia,0.7142857142857143,0.1428571428571428,0.0,0.0,0.0,0.0,0.1428571428571428,0.0
d81b89b8-5e90-4156-b6a0-b6831562857c,1,"While a precise average for Weiser, ID, isn't directly listed, expect your Weiser water bill to be around the Idaho state average of $51-$53 monthly, but it can vary based on usage; some nearby areas show combined water/sewer/trash in the $100+ range, so check the City of Weiser website or American Legal Publishing's code library for specific rates, as usage and bundled services (sewer/trash) heavily influence costs.
General Idaho Averages:
SoFi: Lists the average Idaho water bill at $51/month (2025).
LawnStarter: Puts Idaho's average at $53/month (2025).
Factors Affecting Your Bill:
Usage: Higher consumption means a higher bill.
Location: Bills vary even within Idaho; nearby areas sometimes bundle water, sewer, and garbage, pushing totals higher (e.g., $118-$147 for combined services in some reports).
City Services: Weiser's city codes mention service deposits and potential for different business/residential rates.
To Get Your Specific Cost:
Check the City of Weiser's official pages for current water rates.",167,7.0,93,how much is the average water bill in COUNTYSEAT STATE,economy,mixed,numeric,economy,16087,ID,Washington,Weiser,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0,0.4285714285714285,0.1428571428571428,0.0
173aa3db-902e-4e6d-8439-a3a1a0c27040,1,"There's no precise, publicly available count for annual tourists in Yellville, AR, but tourism significantly spikes during events like the Turkey Trot Festival, drawing crowds far exceeding its ~1,200 residents, with focus on its small-town charm and nearby Ozark outdoor recreation. Official data often tracks visitor numbers by county or region (like Buffalo National River), not the town itself, though Yellville serves as a gateway for tourists exploring Marion County.
Key Factors Influencing Yellville Tourism:
Turkey Trot Festival: This major annual event in October brings thousands for the National Wild Turkey Calling Contest, significantly boosting local activity.
Gateway to the Ozarks: Yellville's location in Marion County makes it a base for visitors enjoying the Buffalo National River, hunting, fishing, and scenic drives.
Small-Town Appeal: Tourists are drawn to its traditional atmosphere and community events.
How to Estimate:
Look at local event attendance records (like past Turkey Trot numbers) for a baseline of immediate visitors.
Check Marion County tourism reports or nearby attractions (like the National Forest) for regional visitor trends.",175,5.0,66,how many tourists visit COUNTYSEAT STATE each year,culture,objective,numeric,economy,5089,AR,Marion,Yellville,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.4
9cffd52c-bd83-44f6-b3f9-24920786ccf4,1,"In Smithland, KY, the Black population is a very small percentage, with recent data showing it around 2% to 2.4%, though some sources note even lower figures or zero for specific recent years, indicating a small absolute number of residents, like 5 Black residents in some reports. For instance, Census Reporter shows 2% Black, while World Population Review lists 2.39%.
Census Reporter (approx. 2023 data): 2% Black.
World Population Review (2025 data): 2.39% Black or African American.
Data USA (2023 data): 5 Black or African American (Non-Hispanic) residents out of a population of 209, which is about 2.4%.",103,3.0,63,what percent of COUNTYSEAT STATE is black,culture,objective,numeric,civics,21139,KY,Livingston,Smithland,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec3d4a53-0dc6-4943-8200-5fefecc9daed,1,"There isn't a single number for total deaths in Lumberton, NC, as it varies yearly, but recent data highlights significant homicide rates in Robeson County (where Lumberton is located), with 46% of homicides involving arguments and many linked to firearms. The city gained national attention for the unsolved 2017 deaths of three women—Christina Bennett, Rhonda Jones, and Megan Oxendine—which remain a focus for the FBI and local police.
Key Information & Statistics
2024 Data (Robeson County): The North Carolina Department of Public Safety (ncdps.gov) noted that 105 residents had Emergency Department visits for firearm injuries, with 46% of homicides stemming from arguments.
High Homicide Rate (Historically): Reddit users and news reports indicate Robeson County often sees a disproportionately high number of homicides compared to its population.
The 2017 Unsolved Cases
The Victims: Christina Bennett, Rhonda Jones, and Megan Oxendine were found dead between April and June 2017 within a four-block area of Lumberton.
Ongoing Investigation: The FBI and Lumberton Police continue to seek public tips in these cold cases, offering rewards for information.
Where to Find More Information
For recent local statistics, check The Robesonian (robesonian.com).
For details on the unsolved cases, visit the FBI's Death Investigations page (fbi.gov).",206,9.0,103,how many deaths in COUNTYSEAT STATE,safety,mixed,numeric,safety,37155,NC,Robeson,Lumberton,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,0.1111111111111111,0.1111111111111111,0.0
062e24c9-5b12-4be9-9c88-9f312d29fdef,1,"Greenwood, MS, has one main public school district, the Greenwood-Leflore Consolidated School District (GLCSD), formed from a merger of previous districts, and operates under a city government divided into 7 municipal council wards, each electing a representative. So, depending on whether you mean schools or city governance, it's either one district or seven wards.
For Education (Schools):
Greenwood-Leflore Consolidated School District (GLCSD): This district serves the city and surrounding areas, consolidating the former Greenwood and Leflore County districts.
For City Government (Wards):
Seven Wards: The City of Greenwood uses a Mayor-Council system with seven wards, each having its own councilperson.",104,4.0,40,how many districts are in COUNTYSEAT STATE,geography,objective,numeric,civics,28083,MS,Leflore,Greenwood,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25
e4ed8335-964a-4ac2-a321-9dcb8d36efce,1,"There isn't one single ""best"" academy in Monticello, FL, as it depends on your priorities, but Aucilla Christian Academy (ACA) is a prominent Christian K-12 option known for academics, athletics, and a close-knit environment, while Monticello Christian Academy (MCA) offers a smaller K-12 setting with strong college-prep for some students. For public options, Jefferson County Schools offer programs like the virtual learning approach, but for private academies, ACA and MCA are the key local choices, each with different vibes.
Top Private Academy Options:
Aucilla Christian Academy (ACA): A popular K3-12 Christian school focused on whole-child development (spiritual, academic, emotional, physical) with AP courses and strong sports, described as having a strong community feel where everyone knows each other.
Monticello Christian Academy (MCA): A smaller private K-12 school (grades 1-12), noted for a low student-teacher ratio and 100% college matriculation for graduates, emphasizing individual attention.
Factors to Consider:
Christian Education: Both ACA and MCA offer a faith-based approach, but ACA seems to be a larger, well-established presence.
School Size: ACA is a bit larger with more resources (like APs), while MCA offers a very intimate, family-like environment.
Academics & College Prep: Both aim for academic success, with MCA highlighting its college-bound focus and ACA offering APs and dual enrollment.
Sports & Activities: ACA is known for its strong athletics (Warrior Nation!), while MCA has faced challenges with sports due to its size but offers other enrichment.
How to Decide:Visit both schools! Check their websites (Aucilla.org, etc.) and attend open houses or schedule tours to see which environment feels like the best fit for your child's needs and your family's values.",285,9.0,55,which COUNTYSEAT STATE academy is the best,education,mixed,open-ended,education,12065,FL,Jefferson,Monticello,0.5555555555555556,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
d3d4376c-6bd4-4f9b-b43f-649564741196,1,"Savannah, Tennessee, is best known for its rich Civil War history, especially its connection to the Battle of Shiloh, the historic Cherry Mansion, the Tennessee River Museum, and the legendary sheriff Buford Pusser (of Walking Tall fame), offering Southern charm, riverfront parks, and small-town feel with significant American history.
Key Highlights:
Civil War Heritage: A major site for Civil War buffs, with nearby Shiloh National Military Park and the Cherry Mansion, where General Grant strategized.
Buford Pusser: Home to the Buford Pusser Home & Museum, honoring the controversial sheriff who inspired the Walking Tall movies.
Riverfront Charm: Situated on the Tennessee River, it boasts parks like Wayne Jerrolds River Park and scenic river views.
Local Culture: Known for Southern hospitality, catfish, farmers' markets, and a laid-back atmosphere.
Tennessee River Museum: Details the area's history from prehistoric times through the Civil War.
In essence, Savannah TN is a small, historic town rich in Southern heritage and pivotal American history, particularly from the Civil War era.",166,6.0,28,what is COUNTYSEAT STATE best known for,culture,subjective,open-ended,civics,47071,TN,Hardin,Savannah,0.0,0.0,0.0,0.0,0.1666666666666666,0.5,0.1666666666666666,0.1666666666666666
4abb077b-c02c-4ff7-b7e4-e92cb1665deb,1,"Black or African American residents make up a majority of Sylvester, GA's population, with recent data from the U.S. Census Bureau and Data USA indicating figures around 58.5% to 62.1%, depending on the specific dataset and year (e.g., 2020 Census data shows ~59.2%, while 2023 estimates are similar), making it the largest racial group in the city.
Here's a breakdown from recent estimates:
U.S. Census (QuickFacts): ~58.5% Black alone.
Data USA (2023): ~58.5% Black or African American (Non-Hispanic).
World Population Review (2025 est.): ~58.5% Black or African American.
Neilsberg (2017-2021 ACS): ~62.11% Black or African American.
This shows a significant Black majority population in Sylvester, GA, consistent across multiple sources.",124,5.0,63,what percent of COUNTYSEAT STATE is black,culture,objective,numeric,civics,13321,GA,Worth,Sylvester,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2
